Los Olivos Marketplace,,,,,,
O Fine Japanese Cuisine,6731 Quail Hill,Food,(949) 748-1896,,,
Nalu's Hawaiian Fish Grill,6741 Quail Hill Pkwy,Food,(949) 854-8900,4 locations,,
Natraj's Tandoori,6751 Quail Hill Pkwy,Food,(949) 509-1800,6 locations,,
New Look Skin Center,6701 Quail Hill Pkwy,Skin Care,(877) 628-5005,3 locations,,
Sand Canyon Plaza,,,,,,
Brow Mantra,6614 Irvine Center Drive,Beauty Salon,(949) 585-9877,6 locations,,
Chef Yen's Chinese & Thai Fusion,6628 Irvine Center Drive,Food,(949) 679-7700,,,
Dantian Therapy Acupuncture,6 Irvine Center Drive,Acupuncture,(949) 382-5128,2 locations,,
Dental Care,6 Irvine Center Drive,Dentistry,(949) 786-1188,,,
Hot Pot Legend,6 Irvine Center Drive,Food,(949) 453-0886,,,
Irvine Bicycles,6604 Irvine Center Drive,Bicycles,(949) 453-9999,,,
Lovely Nails & Spa,6646 Irvine Center Drive,Spa,(626) 915-0647,4 locations,,
MedLife Pharmacy & Compounding,6644 Irvine Center Drive,Pharmacy,(949) 502-7272,,,
Oak Creek Pet Hospital,6612 Irvine Center Drive,Vet,(949) 535-1611,,,
Pho Kobe,6636 Irvine Center Drive,Food,(949) 387-6608,2 locations,,
Salon Victoria,6640 Irvine Center Drive,Salon,(949) 727-3360,,,
Sanaya Indian Cuisine,6626 Irvine Center Drive,Food,(949) 387-3700,,,
Sand Canyon Barber,6642 Irvine Center Drive,Barber,(949) 727-3000,,,
Sushi Boy,6634 Irvine Center Drive,Food,(949) 788-0828,4 locations,,
Woodbridge Village Center,,,,,,
Aloha Mind Math,4678 Barranca Pkwy,Cram School,(949) 484-9383,,,
Champagne French Bakery Cafe,4628 Barranca Pkwy,Food,(714) 573-4667,,,
CorePower Yoga,4734 Barranca Pkwy,Yoga,(949) 551-9642,7 locations,,
Dancing Keys Music Studio,4672 Barranca Pkwy,Music,(949) 734-3567,,,
"Dr. Linda Alimadadian, D.O.",4708 Barranca Pkwy,Skin Care,(949) 654-0010,,,
Irvine Periodontics and Dental Implant Center,4760 Barranca Pkwy,Dentist,(949) 262-0300,,,
Irvine Yamaha Music Center,4620 Barranca Pkwy,Music,(949) 559-5440,,,
Lake Dental Center,4660 Barranca Pkwy,Dentist,(949) 857-2828,,,
"Loomis Dentistry, Robert R. DDS",4668 Barranca Pkwy,Cosmetic Implants,(949) 559-5110,,,
Mission: Renaissance Fine Art Classes,4606 Barranca Pkwy,Art,(800) 430-4278,,,
Pedego Electric Bikes,4632 Barranca Pkwy,Bikes,(949) 274-7944,,,
Rainbow Kids Hairstyling,4616 Barranca Pkwy,Hair Salon,(949) 551-6691,,,
Tiny Teeth,4670 Barranca Pkwy,Dentist,(949) 653-8469,,,
Treuhaft's Fine Jewelry,4630 Barranca Pkwy,Jewelry,(949) 552-1955,,,
Woodbridge Movies 5,4626 Barranca Pkwy,Theatre,(949) 733-0980,,,
,,,,,175 locations,
